[WESI][9][16-07-2023 3.57.55 PM][57475775.1838][SMDT]Task.Delay(5).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.55 PM][57475820.0644][SMDT]Task.Delay(48).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][12][16-07-2023 3.57.56 PM][57476921.1211][SMDT]Task.Delay(1102).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][6][16-07-2023 3.57.58 PM][57478013.2035][SMDT]Task.Delay(1090).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][10][16-07-2023 3.57.58 PM][57478252.5624][SMDT]Task.Delay(236).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][7][16-07-2023 3.57.58 PM][57478451.0331][SMDT]Task.Delay(202).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][8][16-07-2023 3.57.59 PM][57479004.5577][SMDT]Task.Delay(551).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][7][16-07-2023 3.57.59 PM][57479458.3411][SMDT]Task.Delay(455).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][7][16-07-2023 3.57.59 PM][57479464.3247][SMDT]Task.Delay(8).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][8][16-07-2023 3.57.59 PM][57479642.8487][SMDT]Task.Delay(174).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][7][16-07-2023 3.57.59 PM][57479688.7246][SMDT]Task.Delay(41).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.57.59 PM][57479705.6789][SMDT]Task.Delay(24).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][7][16-07-2023 3.57.59 PM][57479751.5562][SMDT]Task.Delay(42).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.57.59 PM][57479969.9753][SMDT]Task.Delay(212).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][7][16-07-2023 3.58.00 PM][57480385.8611][SMDT]Task.Delay(415).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][10][16-07-2023 3.58.00 PM][57480396.8322][SMDT]Task.Delay(15).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
